"date","uid","gender","age","incentive","amount"
2014-03-01,daf5f383b03952b18cf4a393,M,41,Be Active,75
2014-04-01,daf5f383b03952b18cf4a393,M,41,Be Active,50
2014-05-01,daf5f383b03952b18cf4a393,M,41,Be Active,50
2014-06-01,daf5f383b03952b18cf4a393,M,41,Be Active,25
2014-07-01,daf5f383b03952b18cf4a393,M,41,Be Active,50
2014-02-01,18c9042e1a957adb027ee84b,F,32,Be Active,25
2014-02-01,d1fdf29168d7dffc45e67031,NULL,34,Be Active,25
2014-03-01,d1fdf29168d7dffc45e67031,NULL,34,Be Active,25
2014-04-01,d1fdf29168d7dffc45e67031,NULL,34,Be Active,25
2014-05-01,d1fdf29168d7dffc45e67031,NULL,34,Be Active,25
2014-06-01,d1fdf29168d7dffc45e67031,NULL,34,Be Active,25
2014-07-01,d1fdf29168d7dffc45e67031,NULL,34,Be Active,50
2014-08-01,d1fdf29168d7dffc45e67031,NULL,34,Be Active,25
2014-09-01,d1fdf29168d7dffc45e67031,NULL,34,Be Active,25
2014-10-01,d1fdf29168d7dffc45e67031,NULL,34,Be Active,50
2014-11-01,d1fdf29168d7dffc45e67031,NULL,34,Be Active,25
2014-12-01,d1fdf29168d7dffc45e67031,NULL,34,Be Active,25
2014-02-01,395786ad311f85082c7e11bb,F,43,Be Active,75
2014-03-01,395786ad311f85082c7e11bb,F,43,Be Active,75
2014-04-01,395786ad311f85082c7e11bb,F,43,Be Active,50
2014-05-01,395786ad311f85082c7e11bb,F,43,Be Active,50
2014-06-01,395786ad311f85082c7e11bb,F,43,Be Active,50
2014-07-01,395786ad311f85082c7e11bb,F,43,Be Active,25
2014-08-01,395786ad311f85082c7e11bb,F,43,Be Active,25
2014-11-01,395786ad311f85082c7e11bb,F,43,Be Active,25
2014-02-01,090cc1eb2dcc2a55a20fcd78,F,31,Be Active,25
2014-02-01,64342eaac803bcf95eec5eea,F,59,Be Active,50
2014-03-01,64342eaac803bcf95eec5eea,F,59,Be Active,75
